darija,eng,darija_ar
fin bghiti nmchiw lyom .,,فين بغيتي نمشيو ليوم .
nkhrjo akhti ghir idrbna lbrd.,,نخرجو أختي غير إدربنا لبرد.
ana 3ziz 3liya nhdd hadafi howa lwl.,,أنا عزيز علييا نهدّ هادافي هووا لول.
ndoro chwiya fso9 mon b3d nmchiw ljrda.,,ندورو شوييا فسوق مون بعد نمشيو لجردا.
chno tla9it m3a sahbti fso9.,,شنو تلاقيت معا ساهبتي فسوق.
fin knto lyoma?,,فين كنتو ليوما?
mchina drna lmasrah,,مشينا درنا لماسراه
kanghni mza bchlha,,كانغني مزا بشلها
lbst lyom libas t9lidi,,لبست ليوم ليباس تقليدي
t3rft lyom bzzf dans jdad,,تعرفت ليوم بزّف دانس جداد
fin chftihom ?,,فين شفتيهوم ?
chfthom f jda oso9 o wahd lhfla,,شفتهوم ف جدا أُسوق أُ واهد لهفلا
bsahtk lhwayj jdad 3jboni bzf,,بساهتك لحوايج جداد عجبوني بزف
chrithom mn so9,,شريتهوم من سوق
imta mchito?,,إمتا مشيتو?
mchina lbarh,,مشينا لباره
3rfti kaynin bzf d lhwayj zwinin,,عرفتي كاينين بزف د لحوايج زوينين
wach hdrti m3a wladk lyoma,,واش هدرتي معا ولادك ليوما
wach ghanmchiw lyom ldar?,,واش غانمشيو ليوم لدار?
rah mohal wach ghanmchiw mazal lyoma makaynach taxi,,راه موهال واش غانمشيو مازال ليوما ماكايناش تاشي
achmn w9t biti nkhrjo,,أشمن وقت بيتي نخرجو
lyoma chkon ghaydir l3cha,,ليوما شكون غايدير لعشا
wach ana yak?,,واش أنا ياك?
iyh rah nti li ghadiri l3cha lyom,,إيه راه نتي لي غاديري لعشا ليوم
wakha ach bghito taklo,,واخا أش بغيتو تاكلو
ana bghit tajin ofchi 3asir,,أنا بغيت تاجين أُفشي عاسير
ana bghit chi bstila,,أنا بغيت شي بستيلا
iwa hani kandir likom l3cha,,إوا هاني كاندير ليكوم لعشا
baraka 3liya albnat klit,,باراكا علييا ألبنات كليت
ghi koli mazal,,غي كولي مازال
safi klit mzyan,,سافي كليت مزيان
wa9ila dik sfa li tybt 9lila,,واقيلا ديك سفا لي تيبت قليلا
had lbnat kayaklo bzf,,هاد لبنات كاياكلو بزف
rah klaw bzf lyom,,راه كلاو بزف ليوم
ghadi tkfihom,,غادي تكفيهوم
bayna ghayjihom jo3 flil,,باينا غايجيهوم جوع فليل
achno ghandir db,,أشنو غاندير دب
hani khrjt ndir ryada,,هاني خرجت ندير ريادا
hta lyom ghadiri riyada,,هتا ليوم غاديري رييادا
ah ana dayman kandirha,,أه أنا دايمان كانديرها
wach kafyak sa3a fnhar,,واش كافياك ساعا فنهار
wakha hani mchit,,واخا هاني مشيت
imta ghatji?,,إمتا غاتجي?
ma3rft imta ghanji,,ماعرفت إمتا غانجي
mazal ga3 majat dik lbnt,,مازال ڭاع ماجات ديك لبنت
dayman m3tla f bra,,دايمان معتلا ف برا
ma3rftch saraha walo,,ماعرفتش ساراها والو
ghanmchi bkri lkhdma,,غانمشي بكري لخدما
imta ghatji mn lkhdma,,إمتا غاتجي من لخدما
ghanji mn lkhdma m3a 6,,غانجي من لخدما معا 6
rah dnya dwara,,راه دنيا دوارا
3ndi wahd sbrdila zwina,,عندي واهد سبرديلا زوينا
hta srwalk zwin,,هتا سروالك زوين
fin chriti dik sndala,,فين شريتي ديك سندالا
chrithom mn wahd so9,,شريتهوم من واهد سوق
fin bghiti nmchi lyom,,فين بغيتي نمشي ليوم
lyom ghankhym,,ليوم غانخيم
nti omn ghatkhymi,,نتي أُمن غاتخيمي
ghanmchi ana okhti nkhymo fwahd lghaba,,غانمشي أنا أُختي نخيمو فواهد لغابا
wach had lghaba zwina,,واش هاد لغابا زوينا
la kayn lbhr flghaba,,لا كاين لبهر فلغابا
ana ma3jbatnich lfikra,,أنا ماعجباتنيش لفيكرا
safi nmchi ldak lbhr,,سافي نمشي لداك لبهر
bach ghanmchiw lbhr,,باش غانمشيو لبهر
ghanmchiw b tomobil,,غانمشيو ب توموبيل
wakha zwina tomobil,,واخا زوينا توموبيل
fin chriti dik tomobil,,فين شريتي ديك توموبيل
chritha 3nd wahd lmra,,شريتها عند واهد لمرا
ah wach dik lmra b3ida,,أه واش ديك لمرا بعيدا
ah b3ida bzf,,أه بعيدا بزف
wach tanti bghiti tchriha,,واش تانتي بغيتي تشريها
saraha bghit nchriha db,,ساراها بغيت نشريها دب
lbnat 3ndi fikra zwiiina,,لبنات عندي فيكرا زويّينا
achnahiya lfikra li 3ndk,,أشناهييا لفيكرا لي عندك
nchriw chi m3za ola djaja,,نشريو شي معزا أُلا دجاجا
bghit saraha m3za,,بغيت ساراها معزا
ana bghit djaja,,أنا بغيت دجاجا
rah mnahsan nchriw m3za nchwiwha,,راه مناهسان نشريو معزا نشويوها
ana twhcht chwa,,أنا توهشت شوا
wakha bsh nit nchriw m3za zwina,,واخا بسه نيت نشريو معزا زوينا
lm3z dyal lblad zwin,,لمعز ديال لبلاد زوين
chkon ghaydb7ha lina,,شكون غايدبحها لينا
nchofo chi gzar idb7ha ylh njiboha db,,نشوفو شي ڭزار إدبحها يله نجيبوها دب
had lm3za wakha sghir,,هاد لمعزا واخا سغير
hta taman dyalha rkhis,,هتا تامان ديالها رخيس
haki koli ghay3jbk,,هاكي كولي غايعجبك
gal liya bgha nchri lih lo3ab,,ڭال لييا بغا نشري ليه لوعاب
ghanchri lwldi lo3ab o lhwayj,,غانشري لولدي لوعاب أُ لحوايج
3ziz 3liya nl3b m3a drari sghar,,عزيز علييا نلعب معا دراري سغار
mchit drt ryada lyoma ana o khti,,مشيت درت ريادا ليوما أنا أُ ختي
ylh t3chit,,يله تعشيت
klit mzyan fl3cha,,كليت مزيان فلعشا
nti wach kliti,,نتي واش كليتي
bsahtkom kamlin,,بساهتكوم كاملين
had lkacha skhona,,هاد لكاشا سخونا
wach lkacha skhona?,,واش لكاشا سخونا?
ma3rft 3lch mchiti,,ماعرفت علش مشيتي
zwina had lon,,زوينا هاد لون
wach kbira ola sghira,,واش كبيرا أُلا سغيرا
rah mtwsta,,راه متوستا
mabghitch nchri bhalha,,مابغيتش نشري بهالها
3lh mabghitch?,,عله مابغيتش?
bghit zr9,,بغيت زرق
ana kay3jbni lhmr,,أنا كايعجبني لهمر
bla matmchi tal so9,,بلا ماتمشي تال سوق
njib lik tmr,,نجيب ليك تمر
ah bghit tmr oloz,,أه بغيت تمر أُلوز
wakha ghda ngolha liha,,واخا غدا نڭولها ليها
3lch majbtich liya tmr,,علش ماجبتيش لييا تمر
hahowa 3ndi,,هاهووا عندي
wakha tanmchiw ghda,,واخا تانمشيو غدا
fin lkisan olbrad,,فين لكيسان أُلبراد
wach khbitihom,,واش خبيتيهوم
3mri lina atay db,,عمري لينا أتاي دب
jibi atay olhlwa,,جيبي أتاي أُلهلوا
wach nas jaw,,واش ناس جاو
zwina had tbla,,زوينا هاد تبلا
kbira had tbla bzf,,كبيرا هاد تبلا بزف
ylh nmchiw nt9daw,,يله نمشيو نتقداو
blati ngolik,,بلاتي نڭوليك
achno bghiti tani,,أشنو بغيتي تاني
siri jm3i lhwayj,,سيري جمعي لحوايج
ana rah tybtha lbarh,,أنا راه تيبتها لباره
wach bghiti tkhrji db,,واش بغيتي تخرجي دب
ana rah mchit lso9,,أنا راه مشيت لسوق
finahiya l9isa dyali,,فيناهييا لقيسا ديالي
3jbatni dik riwaya,,عجباتني ديك ريوايا
9rit bzf dlktoba,,قريت بزف دلكتوبا
kay3jboni aflan ro3b,,كايعجبوني أفلان روعب
ylh awldi nkhrjo,,يله أولدي نخرجو
bghiti nchri lik loz,,بغيتي نشري ليك لوز
matmchiw lchanti,,ماتمشيو لشانتي
fin mchiti tani,,فين مشيتي تاني
knt flhanot,,كنت فلهانوت
chrit roz o lkhobz,,شريت روز أُ لخوبز
zwina had lkhbz,,زوينا هاد لخبز
ach kadiri fhad lkhbz,,أش كاديري فهاد لخبز
mayb9ach tktbi bzf,,مايبقاش تكتبي بزف
l insan howa li iktb,,ل إنسان هووا لي إكتب
achno bghiti nktb,,أشنو بغيتي نكتب
ktbi hyatk lha9i9iya,,كتبي هياتك لهاقيقييا
mabghitch nchofhom,,مابغيتش نشوفهوم
bla matmchi,,بلا ماتمشي
ana bghit nkhrj,,أنا بغيت نخرج
siri hzi hwayjk,,سيري هزي حوايجك
ach bghit hwayji,,أش بغيت حوايجي
ghatmchi lhmam ghda,,غاتمشي لهمام غدا
ghanmchi lhmam db nit,,غانمشي لهمام دب نيت
wakha siri fhalk,,واخا سيري فهالك
mabghitch nmchi,,مابغيتش نمشي
ghatmchi ldarkom bzz,,غاتمشي لداركوم بزّ
makaynach chi haja bzz,,ماكايناش شي حاجة بزّ
sdi lbab,,سدي لباب
hlo dak lbab,,هلو داك لباب
ajiw db ljam3,,أجيو دب لجامع
wach slaw l3cha,,واش سلاو لعشا
slaw nas l3cha,,سلاو ناس لعشا
ylh nchofo jirana,,يله نشوفو جيرانا
rah wahd lmra mrida,,راه واهد لمرا مريدا
3ziz 3liya ndor,,عزيز علييا ندور
imta tana nwli ndor,,إمتا تانا نولي ندور
bghit ndor fl3alam,,بغيت ندور فلعالام
had lbnat 3alam,,هاد لبنات عالام
3adbouni fhyati had nas,,عادبوني فهياتي هاد ناس
achnou darou lik had nas,,أشنو دارو ليك هاد ناس
had sa3a lwa9t s3iba,,هاد ساعا لواقت سعيبا
khouha 3awnha tkhraj mn dik dar,,خوها عاونها تخراج من ديك دار
walidih hatouh fbit dlkhzin,,واليديه هاتوه فبيت دلخزين
walidin mahamlinouch oumaradyinch bih,,واليدين ماهاملينوش وماراديينش بيه
houwa chakhs moutawahid,,هووا شاخس موتاواهيد
lbolis hdar m3a khoutha,,لبوليس هدار معا خوتها
galihoum 3la lha9i9a koulha,,ڭاليهوم علا لهاقيقا كولها
3awd lihoum bli kan tla9aha fwahd tarou dzbal mli kant sghira,,عاود ليهوم بلي كان تلاقاها فواهد تارو دزبال ملي كانت سغيرا
hazouha ou9arrou anaha tb9a m3ahoum ou irbiwha,,هازوها وقارّو أناها تبقا معاهوم و إربيوها
mchaw ldarha bach irj3oha outlakaw dik tamoubil likant tmak dak nhar,,مشاو لدارها باش إرجعوها وتلاكاو ديك تاموبيل ليكانت تماك داك نهار
bdlou ray2 dialhoum,,بدلو رايء ديالهوم
mab9awch ghayrj3oha ldar,,مابقاوش غايرجعوها لدار
3anaw m3a dik lbnt hta kbrat,,عاناو معا ديك لبنت هتا كبرات
lbnt kbrat fzan9a walkin m3a khout likaybghiwha,,لبنت كبرات فزانقا والكين معا خوت ليكايبغيوها
kanou kaydirou lmoustahil 3la 9blha,,كانو كايديرو لموستاهيل علا قبلها
kaydirou ayi haja bach ikhliwha frhana,,كايديرو أيي حاجة باش إخليوها فرهانا
houma 3arfin bli kon kan m3a walidin ghat3ich flkhire,,هوما عارفين بلي كون كان معا واليدين غاتعيش فلخير
baha m3adab dima kayfakar fbntou,,باها معاداب ديما كايفاكار فبنتو
mabghatch thayad lih mn balou,,مابغاتش تهاياد ليه من بالو
houwa 9dar idir kolchi bach trja3 lih,,هووا قدار إدير كولشي باش ترجاع ليه
baha makanch 3arf achnou tra dik lila,,باها ماكانش عارف أشنو ترا ديك ليلا
ma3rft kifach n9n3ha blfikra,,ماعرفت كيفاش نقنعها بلفيكرا
3andi fikra lit9dar t3awnha,,عاندي فيكرا ليتقدار تعاونها
ma9darch mazal ikdab 3liha,,ماقدارش مازال إكداب عليها
khotha khbaw 3liha lha9i9a,,خوتها خباو عليها لهاقيقا
hiya ma3arfach wach houwa bolisi,,هييا ماعارفاش واش هووا بوليسي
mazal maktachfou chkoun likan khtatfha,,مازال ماكتاشفو شكون ليكان ختاتفها
houma makanoch chafou wjh lmra,,هوما ماكانوش شافو وجه لمرا
homa chafou tamobila kahla,,هوما شافو تاموبيلا كاهلا
htat lbnt fl 9omama,,هتات لبنت فل قوماما
htatha bidoun chafa9a,,هتاتها بيدون شافاقا
mn ba3d man3as khbawh oukharjou,,من باعد مانعاس خباوه وخارجو
kharjou ihdrou 3la dak lmawdo3,,خارجو إهدرو علا داك لماودوع
glsou fjarda oubdaw,,ڭلسو فجاردا وبداو
mabghatch mou t3awd lih 3la lha9i9a,,مابغاتش مو تعاود ليه علا لهاقيقا
bah bgha igol lih lha9i9a,,باه بغا إڭول ليه لهاقيقا
kayhadadha bl bnt likhtatef,,كايهادادها بل بنت ليختاتف
bgha igol lih bli rah howa bah,,بغا إڭول ليه بلي راه هووا باه
lwld makay3rfch chkon bah,,لولد ماكايعرفش شكون باه
mo khbat 3lih chkon ikon bah,,مو خبات عليه شكون إكون باه
tsdmat mli galiha houwa bolici,,تسدمات ملي ڭاليها هووا بوليسي
mabghatch tsnt ldakchi lighaygol,,مابغاتش تسنت لداكشي ليغايڭول
galt lih makrhtch man39alch 3la hta haja,,ڭالت ليه ماكرهتش مانعقالش علا هتا حاجة
bghat tnsa kolchi,,بغات تنسا كولشي
howa jrhha bzaf,,هووا جرهها بزاف
khba 3liha lhakika,,خبا عليها لهاكيكا
makantch 3arfa fin khedam,,ماكانتش عارفا فين خدام
kant galt lih bli n3raf rah mojrim nsmh lik,,كانت ڭالت ليه بلي نعراف راه موجريم نسمه ليك
ma9darch ikml hdartou,,ماقدارش إكمل هدارتو
mazal ma3arfat lhakika dialha,,مازال ماعارفات لهاكيكا ديالها
mab9a walou out3raf kolchi,,مابقا والو وتعراف كولشي
sawlou lmohami 3la l9adiya,,ساولو لموهامي علا لقادييا
galihoum kayn tatawour fl9adiya,,ڭاليهوم كاين تاتاوور فلقادييا
bghat 3amtou i3raf bli kayn ta9doum,,بغات عامتو إعراف بلي كاين تاقدوم
l ab sma3 bhadchi ourtah,,ل أب سماع بهادشي ورتاه
houwa hes bli 9rib itlaka bntou,,هووا هس بلي قريب إتلاكا بنتو
bntha ktachfat bli dhab machi h9i9i,,بنتها كتاشفات بلي دهاب ماشي هقيقي
dhab liwrathoum kolo mzawar,,دهاب ليوراتهوم كولو مزاوار
bghat tbayan lihoum bli mazal 3andhoum dhab,,بغات تبايان ليهوم بلي مازال عاندهوم دهاب
rajlha chko fih ba9i kay9amar,,راجلها شكو فيه باقي كايقامار
houwa 3ta dhab lsahafi,,هووا عتا دهاب لساهافي
makanoch 3ando lflous,,ماكانوش عاندو لفلوس
nsa tilifono fjarda,,نسا تيليفونو فجاردا
joz2 kbir mn dakirtou tmshat,,جوزء كبير من داكيرتو تمسهات
lbnt drbha wahd lwald,,لبنت دربها واهد لوالد
kant kat3ti lhwayj lwahad lmoutacharid,,كانت كاتعتي لحوايج لواهاد لموتاشاريد
mchat dak nhar lsbitar,,مشات داك نهار لسبيتار
hiya t3arfat m3a lbolici,,هييا تعارفات معا لبوليسي
ja 3anhoum lmat3am,,جا عانهوم لماتعام
bghato mn dak nhar,,بغاتو من داك نهار
houwa hawal i3awanha,,هووا هاوال إعاوانها
lbolici ha9a9 liha kol ahlamha,,لبوليسي هاقاق ليها كول أهلامها
wach houwa li9al9ak ?,,واش هووا ليقالقاك ?
datha 3amtha lmat3am,,داتها عامتها لماتعام
galt lihoum 3amrou liya tabla,,ڭالت ليهوم عامرو لييا تابلا
mli hdrat liha 3la dak dri bdat katbki,,ملي هدرات ليها علا داك دري بدات كاتبكي
galiha wach kathaddini,,ڭاليها واش كاتهادّيني
ila sm3at smiytek katdama3 3iniha,,إلا سمعات سمييتك كاتداماع عينيها
lbolici khas ikoun 3andou dalil,,لبوليسي خاس إكون عاندو داليل
mabghach iched lmoucjrim 9bal maykon 3andou dalil,,مابغاش إشد لموكجريم قبال مايكون عاندو داليل
lmojrim mabghach ijawbo,,لموجريم مابغاش إجاوبو
houwa twahach bah dakchi 3lach kaysoni lih,,هووا تواهاش باه داكشي علاش كايسوني ليه
khouya tab3ou bach i3raf lhakika limkhabi,,خويا تابعو باش إعراف لهاكيكا ليمخابي
mardach t3rad 3lih,,مارداش تعراد عليه
galt lih aji nglso ncharbou chihaja,,ڭالت ليه أجي نڭلسو نشاربو شيحاجة
galiha hadchi mamnasbnich,,ڭاليها هادشي مامناسبنيش
mab9ach ib9a b3id 3la khtou,,مابقاش إبقا بعيد علا ختو
houwa 3rf chkon likan tlaka ljouta,,هووا عرف شكون ليكان تلاكا لجوتا
sawalhoum wach dar dialhoum,,ساوالهوم واش دار ديالهوم
houma likanou tlakaw ljouta,,هوما ليكانو تلاكاو لجوتا
3tarfou bli kanou tlakaw lmoutacharidin,,عتارفو بلي كانو تلاكاو لموتاشاريدين
kanou khdaw jaiza mn chhal hadi,,كانو خداو جايزا من شهال هادي
darou barnamaj 3la lmoutacharidin,,دارو بارناماج علا لموتاشاريدين
houwa chirir,,هووا شيرير
ghaykon houwa litlaka ljota,,غايكون هووا ليتلاكا لجوتا
kan kayhadad mol lf3la,,كان كايهاداد مول لفعلا
lbnt 3rfat bli baha kayl3ab l9imar,,لبنت عرفات بلي باها كايلعاب لقيمار
kaygol 3liha amira,,كايڭول عليها أميرا
hiya labas 3liha,,هييا لاباس عليها
houwa fa9ir wmtcharad,,هووا فاقير ومتشاراد
kandan bli katbghih wakha ma3andou hta haja,,كاندان بلي كاتبغيه واخا ماعاندو هتا حاجة
kanou fsouk khdat hwayj ldrari,,كانو فسوك خدات حوايج لدراري
3andha raghba kbire t3awan lmotacharidin,,عاندها راغبا كبير تعاوان لموتاشاريدين
khouha tmsh nas mn dakirtou,,خوها تمسه ناس من داكيرتو
dar thr9at,,دار تهرقات
kanou kay9albou 3la tswirth lbnt,,كانو كايقالبو علا تسويرته لبنت
lbolici khda tswira tlbnt,,لبوليسي خدا تسويرا تلبنت
lbolici chek bli lbnt mkhtatfa,,لبوليسي شك بلي لبنت مختاتفا
film lyouma kayhdar 3la lfa9r,,فيلم ليوما كايهدار علا لفاقر
wach 3amarak kounti fa9ir ?,,واش عاماراك كونتي فاقير ?
akhyab haja hiya lfa9r,,أخياب حاجة هييا لفاقر
kayn mskin lli ma3andouch mayakoul,,كاين مسكين اللي ماعاندوش ماياكول
kayn lli ila bgha yakoul khobza khaso itlabha,,كاين اللي إلا بغا ياكول خوبزا خاسو إتلابها
bghit ndir machrou3 khas biya,,بغيت ندير ماشروع خاس بييا
chno ghadir fhad lmachrou3,,شنو غادير فهاد لماشروع
ghandir tawzi3 lwajabat sihiya,,غاندير تاوزيع لواجابات سيهييا
had lmachrou3 ghaykon matlob bzaf,,هاد لماشروع غايكون ماتلوب بزاف
kolchi wla kaybghi yakoul makla sihiya,,كولشي ولا كايبغي ياكول ماكلا سيهييا
lidayr regim ghat3jbou lfikra,,ليداير رڭيم غاتعجبو لفيكرا
saraha had lmachrou3 zwin,,ساراها هاد لماشروع زوين
bzzef dnas lli khdamin ghadi istafdo mano,,بزّف دناس اللي خدامين غادي إستافدو مانو
kayn lima3andhoumch lwa9t bach itaybo,,كاين ليماعاندهومش لواقت باش إتايبو
kayn li makat3jabhoumch lmakla barda,,كاين لي ماكاتعجابهومش لماكلا باردا
makat3jabhoumch lmakla bayta,,ماكاتعجابهومش لماكلا بايتا
3ziza 3lihoum lmakla skhouna,,عزيزا عليهوم لماكلا سخونا
3ziza 3lihoum lmakla sihiya,,عزيزا عليهوم لماكلا سيهييا
homa dayrin rijim,,هوما دايرين ريجيم
makhashoumch yaklo makla dasima,,ماخاسهومش ياكلو ماكلا داسيما
mama fiha kolistirol,,ماما فيها كوليستيرول
hiya dima kathawal mataklch lmar9a,,هييا ديما كاتهاوال ماتاكلش لمارقا
ghas darouri thal hisab flbanca,,غاس داروري تهال هيساب فلبانكا
chno ghadi ikhasni bach nhalo,,شنو غادي إخاسني باش نهالو
ghadi thali hisab daba,,غادي تهالي هيساب دابا
ana 3yit mn hadchi dialk,,أنا عييت من هادشي ديالك
hachno ghadi ikhasak,,هاشنو غادي إخاساك
wach momkin che hed iyakhod mnha che haja,,واش مومكين ش هد إياخود منها ش حاجة
momkin maykounch endo cod,,مومكين مايكونش إندو كود
homa maghayrjo3ach lik,,هوما ماغايرجوعاش ليك
makhashoumch izidou ichriw,,ماخاسهومش إزيدو إشريو
wach marja3ch lik flosk,,واش مارجاعش ليك فلوسك
bghit ndir fir9a mosiy9iya,,بغيت ندير فيرقا موسييقييا
chkoun bgha idir fir9a mosiy9iya,,شكون بغا إدير فيرقا موسييقييا
chhal mn chakhs khas ikoun fhad lfir9a ?,,شهال من شاخس خاس إكون فهاد لفيرقا ?
khas ikouno 5 dyal achkhas,,خاس إكونو 5 ديال أشخاس
ana bghit nghani,,أنا بغيت نغاني
sahbti ghadi t3zaf lkaman,,ساهبتي غادي تعزاف لكامان
wahd lbnt ghadi t3zaf 3la lpyano,,واهد لبنت غادي تعزاف علا لپيانو
khas ly chaja3na,,خاس لي شاجاعنا
kifach ghadi ntal3o lmasrah ?,,كيفاش غادي نتالعو لماسراه ?
fiya lkhal3a bzzef,,فييا لخالعا بزّف
khas tkoun 3andak ti9a frasak,,خاس تكون عانداك تيقا فراساك
khas tkoun choja3 bach tla3 lmasrah,,خاس تكون شوجاع باش تلاع لماسراه
ghadi tkoun fmojabaha m3a ljomhour,,غادي تكون فموجاباها معا لجومهور
ljomhor ktir had nhar,,لجومهور كتير هاد نهار
wach dartou chi i3lan,,واش دارتو شي إعلان
ghadi ikoun jomhour kbir,,غادي إكون جومهور كبير
ghadi ikoun l3ard blil,,غادي إكون لعارد بليل
ghadi ikoun l3ard flhawa tal9,,غادي إكون لعارد فلهاوا تالق
khaft nchouf ljomhour wimchi liya kolchi,,خافت نشوف لجومهور ويمشي لييا كولشي
khasna nkhtaro lbsa mowahada,,خاسنا نختارو لبسا موواهادا
achmn loun nkhtaro?,,أشمن لون نختارو?
ndiro saya flkhal o9amija fzra9,,نديرو سايا فلخال أُقاميجا فزراق
had lmra ghadi nkhtar tamtil,,هاد لمرا غادي نختار تامتيل
ma3rft chno hsan wach lmosi9a ola tamtil,,ماعرفت شنو هسان واش لموسيقا أُلا تامتيل
tamtil kanl9a fih rahti,,تامتيل كانلقا فيه راهتي
khasna nti9o flkhtiyar dyalna,,خاسنا نتيقو فلختييار ديالنا
tamtil katkhraj mn chkhsiytak,,تامتيل كاتخراج من شخسييتاك
kaykhasak t9amas dawr ly 3tawak,,كايخاساك تقاماس داور لي عتاواك
tamtil fih lflous,,تامتيل فيه لفلوس
kaynin bzzef dyal adwar,,كاينين بزّف ديال أدوار
bghit dawr dyal wahd là-bas 3lih,,بغيت داور ديال واهد لà-باس عليه
khasni dawr jdid,,خاسني داور جديد
makanhmalch adwar tanawiya,,ماكانهمالش أدوار تاناوييا
khaso il3ab dawr raisi,,خاسو إلعاب داور رايسي
ljomhour kayhma9o 3la had lmomatil,,لجومهور كايهماقو علا هاد لموماتيل
ghadi ijib bzzef dyal lmotafarijin,,غادي إجيب بزّف ديال لموتافاريجين
lmokhrij jra 3la dak lmomatil,,لموخريج جرا علا داك لموماتيل
makay3rafch imtal bhal had adwar,,ماكايعرافش إمتال بهال هاد أدوار
mchat 3andou ldar,,مشات عاندو لدار
hiya bghat thdar m3ah,,هييا بغات تهدار معاه
kan 3arf bli ma3andhoumch lacart,,كان عارف بلي ماعاندهومش لاكارت
hiya ham9a dghiya tiy9atou,,هييا هامقا دغييا تييقاتو
houwa bgha ihmiha mn dak chirir,,هووا بغا إهميها من داك شيرير
lhadaf dialou hou in9d douk drari,,لهاداف ديالو هو إنقد دوك دراري
makantch 3andhoum 3aila,,ماكانتش عاندهوم عايلا
dima kaytlbha tsamhou,,ديما كايتلبها تسامهو
makantch katkhaf mn hta haja,,ماكانتش كاتخاف من هتا حاجة
hiya katbghih bhal ila houma bouhdhoum likaynin,,هييا كاتبغيه بهال إلا هوما بوهدهوم ليكاينين
baha chafha li awal mra fhyatou,,باها شافها لي أوال مرا فهياتو
kathas bli lwa9t t9il,,كاتهاس بلي لواقت تقيل
houwa khba 3liha chhal mn haja,,هووا خبا عليها شهال من حاجة
chwiya oughat3raf lmadi dialha,,شوييا وغاتعراف لمادي ديالها
lbolici blgh b mo,,لبوليسي بلغ ب مو
l om dialou hiya likant khdar lbnt,,ل أُم ديالو هييا ليكانت خدار لبنت
hiya khdat lbnt mn mha,,هييا خدات لبنت من مها
khdat lbnt ou3tta bach ilouhoha fl 9omama,,خدات لبنت وعتّا باش إلوهوها فل قوماما
howa ma9darch ism l mo,,هووا ماقدارش إسم ل مو
chirir kan ishabou ghaysad l9adiya,,شيرير كان إسهابو غايساد لقادييا
houwa dima kaygolo lih wld lkhedama,,هووا ديما كايڭولو ليه ولد لخداما
3ach fdorof khayba,,عاش فدوروف خايبا
kanou kay3amlouh btari9a khyaba,,كانو كايعاملوه بتاريقا خيابا
houwa makaybghihach tsawalou,,هووا ماكايبغيهاش تساوالو
bgha hyatou mat3rafch,,بغا هياتو ماتعرافش
bgha asrarou ib9aw lih bouhdou,,بغا أسرارو إبقاو ليه بوهدو
mn sbah ouhiya katbki,,من سباه وهييا كاتبكي
jab khouya lhalazoun mn lghaba,,جاب خويا لحالازون من لغابا
lhalazoun mofid lsiha,,لهالازون موفيد لسيها
lhalazoun dyal jbal zwin,,لهالازون ديال جبال زوين
lhalazoun kayakoul l3ochb hhhh,,لهالازون كاياكول لعوشب هههه
chno kayakoul lhalazoun?,,شنو كاياكول لحالازون?
lhalazoun kaytst3mal fl3inaya blbachara,,لهالازون كايتستعمال فلعينايا بلباشارا
chno isti3malat dyal lhalazoun ?,,شنو إستيعمالات ديال لحالازون ?
lhalazoun mofid l alam lbatan,,لهالازون موفيد ل ألام لباتان
lhalazoun kaytghda 3la za3tar,,لهالازون كايتغدا علا زاعتار
kayhato lhalazoun 3la lwjah,,كايهاتو لحالازون علا لوجاه
s3ib tbni dar fhad lwa9t,,سعيب تبني دار فهاد لواقت
khas tjib chi tachroun dyal lbni,,خاس تجيب شي تاشرون ديال لبني
chno ghadi ikhas bach nbni dar ?,,شنو غادي إخاس باش نبني دار ?
khasak tchri lard howa lowal,,خاساك تشري لارد هووا لووال
ghadi igoulik tachroun chno khasak,,غادي إڭوليك تاشرون شنو خاساك
ghadi tjib lbrik ormla osima,,غادي تجيب لبريك أُرملا أُسيما
kayna sima bida osima dyal lbni,,كاينا سيما بيدا أُسيما ديال لبني
ghadi ikhas lhdid bach tbni,,غادي إخاس لهديد باش تبني
3andi arad kbira,,عاندي أراد كبيرا
ghadi nbni jouj byout osaloun,,غادي نبني جوج بيوت أُسالون
chargeur dyali khdam mzyan,,شارڭور ديالي خدام مزيان
ghadi ndir lfayouns lkozina,,غادي ندير لفايونس لكوزينا
ghadi ikhas lfayouns dyal twalit,,غادي إخاس لفايونس ديال تواليت
ghandir lamozik lbyouta,,غاندير لاموزيك لبيوتا
ghanjib 20 khancha dyal sima,,غانجيب 20 خانشا ديال سيما
khas rmal ijibo moul lkarousa,,خاس رمال إجيبو مول لكاروسا
ghadi ikhas bzzef dyal lkhdama,,غادي إخاس بزّف ديال لخداما
imta ghaysaliw lbni dyal tab9a 1 ?,,إمتا غايساليو لبني ديال تابقا 1 ?
khas tsarbiw lbni dyal tab9a lowla,,خاس تساربيو لبني ديال تابقا لوولا
dar hiya sas ikoun shih,,دار هييا ساس إكون سهيه
bit saboun fin ghandirouha ?,,بيت سابون فين غانديروها ?
bit saboun dar fstah,,بيت سابون دار فستاه
chriti lfayouns dyal bit n3as ?,,شريتي لفايونس ديال بيت نعاس ?
kaynin bzzef dyal chkal flfayouns,,كاينين بزّف ديال شكال فلفايونس
khas ndiro loun maftouh flfayouns dyal saloun,,خاس نديرو لون مافتوه فلفايونس ديال سالون
ama hsan lfayouns ola lamozik ?,,أما هسان لفايونس أُلا لاموزيك ?
ljahl howa t3ich fdlam,,لجاهل هووا تعيش فدلام
